,sampling_method,fe_method,pm_algorithm,scoring_method,output
98,smote_tomek_links,xgboost,logistic_regression,f1,0.43152006265639253
99,smote_tomek_links,none,logistic_regression,f1,0.4928366477946109
100,smote_tomek_links,pca,naive_bayes,f1,0.3248577685711219
101,smote_tomek_links,lasso,naive_bayes,f1,0.30251717826952096
102,smote_tomek_links,random_forest,naive_bayes,f1,0.43966185416764236
103,smote_tomek_links,xgboost,naive_bayes,f1,0.43572250294578596
104,smote_tomek_links,none,naive_bayes,f1,0.283030385504867
105,no_sampling,pca,xgboost,f1,0.584777234996922
106,no_sampling,lasso,xgboost,f1,0.647741099658516
107,no_sampling,random_forest,xgboost,f1,0.618244326386101
108,no_sampling,xgboost,xgboost,f1,0.6139095357295097
109,no_sampling,none,xgboost,f1,0.647741099658516
110,no_sampling,pca,random_forest,f1,0.6912262283224638
111,no_sampling,lasso,random_forest,f1,0.7805623033813436
112,no_sampling,random_forest,random_forest,f1,0.768758872120715
113,no_sampling,xgboost,random_forest,f1,0.774291897039918
114,no_sampling,none,random_forest,f1,0.7810483075310402
115,no_sampling,pca,qda,f1,0.34309511888609673
116,no_sampling,lasso,qda,f1,0.206646605560792
117,no_sampling,random_forest,qda,f1,0.4632641877394052
118,no_sampling,xgboost,qda,f1,0.4497715172018545
119,no_sampling,none,qda,f1,0.18544850654703465
120,no_sampling_links,pca,lda,f1,0.45238663675825963
121,no_sampling_links,lasso,lda,f1,0.5336249101330665
122,no_sampling_links,random_forest,lda,f1,0.4403244460353579
123,no_sampling_links,xgboost,lda,f1,0.43561444237928415
124,no_sampling_links,none,lda,f1,0.5335587728294817
125,no_sampling,pca,knn,f1,0.6197964047471538
126,no_sampling,lasso,knn,f1,0.7012384732722811
127,no_sampling,random_forest,knn,f1,0.704584169449418
128,no_sampling,xgboost,knn,f1,0.706140988611603
129,no_sampling,none,knn,f1,0.7011671058194994
130,no_sampling,pca,logistic_regression,f1,0.4503367468969208
131,no_sampling,lasso,logistic_regression,f1,0.49430040196645625
132,no_sampling,random_forest,logistic_regression,f1,0.4364634943122937
133,no_sampling,xgboost,logistic_regression,f1,0.43473996379613045
134,no_sampling,none,logistic_regression,f1,0.4967334195729484
135,no_sampling,pca,naive_bayes,f1,0.35139014962267967
136,no_sampling,lasso,naive_bayes,f1,0.3026157698095111
137,no_sampling,random_forest,naive_bayes,f1,0.44893807510340283
138,no_sampling,xgboost,naive_bayes,f1,0.4370962855907214
139,no_sampling,none,naive_bayes,f1,0.28094188189902547
